order_id,order_date,customer,category,amount_original,currency_original,amount_brl
72,2024-07-21,Bruno Pereira,Esporte,771.05,BRL,771.05
73,2024-06-19,Lucas Martins,Livros,3949.54,BRL,3949.54
74,2023-06-03,Tiago Esteves,Casa,2982.67,BRL,2982.67
75,2024-12-02,Carla Oliveira,Eletrônicos,4738.44,BRL,4738.44
76,2024-11-08,Vitória Esteves,Moda,1833.78,USD,10621.80
77,2024-04-25,Gabriela Martins,Esporte,1921.28,BRL,1921.28
78,2024-07-21,Rafael Duarte,Moda,4553.40,USD,25185.77
79,2023-08-18,Diego Lopes,Moda,3532.84,USD,17324.34
80,2023-10-23,Diego Barbosa,Esporte,2991.12,BRL,2991.12
81,2024-11-11,Rafael Martins,Esporte,121.15,BRL,121.15
83,2023-07-26,Gabriela Barbosa,Casa,1281.17,BRL,1281.17
84,2024-02-14,Mariana Lopes,Livros,1347.93,BRL,1347.93
86,2024-11-26,Ana Esteves,Livros,1823.08,BRL,1823.08
87,2024-02-12,Isabela Henriques,Eletrônicos,2816.52,BRL,2816.52
88,2023-03-17,Olívia Carvalho,Casa,1465.64,BRL,1465.64
90,2023-11-21,Olívia Pereira,Casa,4831.03,BRL,4831.03
91,2024-06-15,Carla Jesus,Esporte,2522.26,BRL,2522.26
92,2023-01-30,Tiago Jesus,Esporte,3142.61,BRL,3142.61
93,2024-03-26,Olívia Gomes,Moda,4305.80,BRL,4305.80
94,2023-04-10,Mariana Vasconcelos,Moda,965.10,BRL,965.10
95,2023-08-09,Bruno Barbosa,Esporte,2692.14,BRL,2692.14
96,2023-07-19,João Carvalho,Livros,3407.67,BRL,3407.67
98,2023-12-11,Rafael Santos,Esporte,4898.91,BRL,4898.91
99,2024-08-15,Bruno Teixeira,Esporte,755.69,BRL,755.69
100,2024-09-18,Bruno Esteves,Esporte,1582.11,BRL,1582.11
101,2024-09-16,Henrique Jesus,Moda,3529.67,BRL,3529.67
102,2024-07-10,Mariana Martins,Moda,4620.64,USD,25557.68
103,2024-08-23,Bruno Ribeiro,Moda,3411.62,BRL,3411.62
104,2023-10-22,Bruno Carvalho,Moda,4566.96,BRL,4566.96
105,2023-10-24,Ana Klein,Eletrônicos,3213.06,BRL,3213.06
106,2024-10-25,Felipe Almeida,Casa,4282.74,USD,23989.77
108,2023-10-30,Henrique Henriques,Livros,3514.93,BRL,3514.93
109,2024-06-22,Lucas Carvalho,Eletrônicos,1653.63,USD,8871.23
110,2024-03-01,Bruno Santos,Casa,3733.34,BRL,3733.34
111,2023-07-04,Nuno Martins,Livros,419.47,BRL,419.47
112,2023-01-04,João Pereira,Esporte,2313.40,BRL,2313.40
113,2023-01-17,Carla Duarte,Livros,3707.13,USD,19282.27
114,2024-08-12,Vitória Lopes,Moda,1389.92,BRL,1389.92
115,2024-10-20,Rafael Lopes,Livros,1219.70,BRL,1219.70
116,2023-09-06,Karina Carvalho,Casa,1897.86,USD,9389.09
117,2023-12-07,Ana Gomes,Eletrônicos,3483.49,BRL,3483.49
118,2024-01-04,Paulo Pereira,Livros,1577.97,BRL,1577.97
119,2023-12-04,Tiago Henriques,Casa,2462.62,BRL,2462.62
120,2023-03-02,Carla Barbosa,Livros,65.42,BRL,65.42
122,2023-06-02,Vitória Ribeiro,Casa,2305.30,BRL,2305.30
123,2024-07-19,Ana Ferreira,Livros,4868.75,BRL,4868.75
124,2024-12-01,Sofia Teixeira,Moda,2942.81,BRL,2942.81
125,2024-07-07,Eduarda Carvalho,Casa,3033.10,USD,16776.68
126,2024-07-20,Nuno Ferreira,Livros,385.90,BRL,385.90
127,2024-03-31,Isabela Duarte,Moda,534.21,BRL,534.21
128,2024-07-26,Henrique Teixeira,Livros,334.91,BRL,334.91
129,2024-04-13,João Almeida,Casa,2211.81,BRL,2211.81
130,2023-07-01,Karina Klein,Livros,1415.54,BRL,1415.54
131,2024-04-17,Gabriela Pereira,Eletrônicos,2505.98,BRL,2505.98
133,2023-12-06,Nuno Duarte,Não informado,2603.05,BRL,2603.05
134,2023-12-20,Paulo Duarte,Eletrônicos,3924.86,BRL,3924.86
135,2023-12-18,Felipe Henriques,Esporte,3992.01,BRL,3992.01
136,2023-01-05,Gabriela Jesus,Eletrônicos,1841.22,BRL,1841.22
137,2023-12-23,Olívia Vasconcelos,Casa,1579.28,BRL,1579.28
138,2024-10-12,Felipe Santos,Casa,4329.42,BRL,4329.42
139,2024-12-28,Paulo Ferreira,Eletrônicos,1139.42,USD,6892.24
140,2024-07-10,Lucas Santos,Eletrônicos,2136.79,BRL,2136.79
141,2023-05-01,Henrique Gomes,Esporte,2151.79,BRL,2151.79
142,2024-12-21,Tiago Jesus,Esporte,4813.64,USD,29117.23
143,2023-09-11,Mariana Queiroz,Casa,3976.29,USD,19671.50
144,2023-04-06,Olívia Martins,Esporte,2483.14,BRL,2483.14
146,2023-10-08,Lucas Jesus,Moda,2157.08,BRL,2157.08
148,2023-01-09,Felipe Pereira,Moda,3438.38,BRL,3438.38
149,2023-09-11,Carla Henriques,Esporte,153.46,BRL,153.46
150,2023-09-03,Diego Henriques,Esporte,677.06,BRL,677.06
152,2023-03-22,Gabriela Esteves,Livros,3222.23,BRL,3222.23
153,2023-02-26,Felipe Duarte,Não informado,2491.59,USD,12913.91
154,2023-05-01,Ana Lopes,Casa,3144.45,BRL,3144.45
156,2024-03-02,Karina Jesus,Esporte,912.87,BRL,912.87
159,2023-03-03,Eduarda Jesus,Moda,1874.57,BRL,1874.57
160,2023-05-14,Isabela Lopes,Livros,1374.00,BRL,1374.00
161,2024-07-02,Gabriela Pereira,Casa,1534.62,BRL,1534.62
163,2024-10-22,Tiago Jesus,Eletrônicos,4049.48,BRL,4049.48
164,2024-05-23,Nuno Ferreira,Moda,3102.84,USD,15987.69
165,2024-06-22,Sofia Almeida,Casa,2836.33,BRL,2836.33
167,2023-06-30,Karina Martins,Eletrônicos,727.44,BRL,727.44
168,2024-09-08,Rafael Queiroz,Não informado,669.62,BRL,669.62
169,2023-04-24,Lucas Carvalho,Livros,4878.81,BRL,4878.81
170,2024-09-20,Henrique Teixeira,Livros,3648.82,USD,19989.70
171,2024-09-18,Tiago Duarte,Moda,1610.82,BRL,1610.82
172,2024-12-10,Isabela Duarte,Eletrônicos,4424.17,BRL,4424.17
173,2024-04-07,Bruno Klein,Não informado,1721.80,USD,8848.16
174,2024-03-17,Felipe Vasconcelos,Moda,3491.31,BRL,3491.31
175,2023-02-25,Nuno Carvalho,Esporte,3197.52,BRL,3197.52
176,2024-01-15,Lucas Ferreira,Casa,2829.34,BRL,2829.34
177,2024-02-01,Nuno Santos,Livros,1985.67,BRL,1985.67
178,2023-06-27,Felipe Gomes,Moda,4985.40,BRL,4985.40
179,2023-10-10,Ana Vasconcelos,Livros,3795.94,BRL,3795.94
181,2023-11-07,Paulo Duarte,Moda,3648.67,BRL,3648.67
182,2024-06-11,Carla Klein,Livros,979.69,USD,5255.74
183,2024-06-01,Diego Almeida,Livros,2942.04,BRL,2942.04
184,2024-08-08,Gabriela Henriques,Moda,4835.38,BRL,4835.38
185,2024-12-30,Isabela Oliveira,Casa,2612.21,BRL,2612.21
186,2024-12-01,Carla Lopes,Casa,4463.12,BRL,4463.12
187,2024-11-28,Ana Queiroz,Casa,2922.83,BRL,2922.83
188,2024-01-03,Felipe Santos,Eletrônicos,2803.37,BRL,2803.37
189,2023-12-06,Tiago Klein,Eletrônicos,4721.67,BRL,4721.67
190,2023-05-21,Karina Oliveira,Livros,1676.10,USD,8327.37
194,2023-02-19,Ana Barbosa,Livros,3514.57,BRL,3514.57
195,2023-04-18,Vitória Duarte,Eletrônicos,4160.02,BRL,4160.02
197,2023-02-21,Felipe Barbosa,Casa,492.91,BRL,492.91
198,2023-04-06,Karina Ferreira,Livros,4255.48,BRL,4255.48
199,2024-08-27,Tiago Pereira,Livros,4401.26,BRL,4401.26
200,2023-01-13,Rafael Teixeira,Moda,2624.48,BRL,2624.48
201,2024-09-19,Felipe Ribeiro,Livros,1219.32,BRL,1219.32
203,2024-04-12,Lucas Barbosa,Livros,3588.21,BRL,3588.21
204,2024-06-18,Diego Barbosa,Livros,1286.03,BRL,1286.03
205,2023-02-17,Tiago Duarte,Livros,4819.03,BRL,4819.03
206,2024-12-09,Eduarda Duarte,Esporte,2104.47,BRL,2104.47
207,2024-09-08,Rafael Klein,Esporte,3169.60,BRL,3169.60
208,2024-05-30,Karina Duarte,Esporte,2098.56,BRL,2098.56
209,2024-11-17,Isabela Ferreira,Casa,3772.12,BRL,3772.12
210,2024-12-13,Bruno Nogueira,Casa,1031.09,BRL,1031.09
211,2024-09-09,Gabriela Klein,Eletrônicos,222.22,USD,1217.41
212,2023-11-27,Vitória Klein,Esporte,2635.89,BRL,2635.89
213,2024-11-10,Lucas Klein,Esporte,4905.06,BRL,4905.06
214,2023-11-25,Diego Nogueira,Casa,4017.20,BRL,4017.20
215,2023-01-08,Gabriela Gomes,Livros,4394.72,BRL,4394.72
216,2023-02-25,Isabela Santos,Moda,2033.69,BRL,2033.69
217,2023-03-16,Rafael Duarte,Casa,1919.00,BRL,1919.00
219,2023-12-19,Rafael Esteves,Moda,3360.77,USD,16471.47
220,2023-12-05,Henrique Duarte,Eletrônicos,3088.73,BRL,3088.73
222,2024-07-05,Carla Carvalho,Esporte,3849.82,BRL,3849.82
223,2024-08-26,João Esteves,Esporte,4242.09,BRL,4242.09
225,2023-04-16,Rafael Jesus,Casa,1904.58,BRL,1904.58
226,2024-05-13,Vitória Almeida,Moda,1418.08,BRL,1418.08
227,2024-11-22,Gabriela Teixeira,Livros,690.70,BRL,690.70
229,2024-06-07,Karina Pereira,Eletrônicos,2622.53,USD,14069.09
230,2024-06-28,Diego Carvalho,Moda,4688.98,USD,25154.97
231,2024-01-26,Tiago Duarte,Casa,1430.31,BRL,1430.31
233,2024-07-26,Isabela Klein,Livros,3743.34,BRL,3743.34
234,2024-12-24,Mariana Almeida,Moda,1329.86,USD,8044.19
235,2023-02-28,Felipe Queiroz,Moda,989.56,BRL,989.56
236,2023-03-30,Mariana Martins,Livros,361.55,BRL,361.55
237,2023-07-19,Mariana Teixeira,Não informado,2801.38,BRL,2801.38
238,2024-12-11,Mariana Teixeira,Moda,2313.87,BRL,2313.87
239,2024-02-27,Rafael Santos,Não informado,483.00,BRL,483.00
240,2024-11-30,Gabriela Queiroz,Moda,1029.49,BRL,1029.49
241,2024-07-08,Paulo Martins,Livros,1387.82,BRL,1387.82
242,2024-07-07,Lucas Nogueira,Moda,1591.56,BRL,1591.56
243,2024-04-27,Karina Martins,Livros,2014.49,BRL,2014.49
244,2024-01-26,Eduarda Queiroz,Moda,3159.98,BRL,3159.98
245,2023-09-18,Diego Pereira,Casa,1303.09,BRL,1303.09
246,2023-10-19,Rafael Queiroz,Livros,3165.26,BRL,3165.26
247,2023-06-15,Karina Lopes,Casa,3908.45,BRL,3908.45
248,2023-09-15,Carla Gomes,Eletrônicos,1996.67,USD,9877.93
250,2024-10-08,Tiago Oliveira,Esporte,4026.62,BRL,4026.62
252,2024-02-04,Henrique Jesus,Moda,3475.02,BRL,3475.02
253,2024-09-24,Vitória Queiroz,Eletrônicos,1360.25,USD,7451.99
254,2024-01-16,Bruno Lopes,Moda,976.84,BRL,976.84
255,2023-02-04,Diego Ribeiro,Moda,1628.46,BRL,1628.46
256,2023-08-12,Henrique Oliveira,Moda,1230.27,BRL,1230.27
257,2024-12-03,Bruno Barbosa,Moda,1178.41,USD,7128.08
258,2023-05-18,Bruno Queiroz,Esporte,2726.64,BRL,2726.64
259,2023-09-27,Olívia Almeida,Esporte,4286.14,USD,21204.39
260,2024-07-18,João Lopes,Casa,4689.30,USD,25937.46
261,2024-08-27,Lucas Henriques,Eletrônicos,4162.90,BRL,4162.90
262,2024-09-23,Bruno Carvalho,Eletrônicos,3630.60,USD,19889.88
263,2023-04-19,Tiago Martins,Livros,2019.29,BRL,2019.29
264,2024-01-16,Nuno Lopes,Esporte,3727.23,BRL,3727.23
266,2023-06-09,Lucas Teixeira,Casa,4590.13,BRL,4590.13
267,2024-09-01,Bruno Teixeira,Eletrônicos,2182.35,BRL,2182.35
268,2023-02-25,Bruno Lopes,Moda,3374.00,USD,17487.44
269,2023-03-26,Bruno Santos,Eletrônicos,3814.14,BRL,3814.14
270,2023-09-30,Karina Teixeira,Livros,2976.87,BRL,2976.87
271,2023-08-28,Lucas Esteves,Eletrônicos,755.20,BRL,755.20
272,2023-08-05,Rafael Jesus,Esporte,111.46,BRL,111.46
273,2023-01-09,Isabela Martins,Eletrônicos,4882.55,BRL,4882.55
275,2023-03-05,Mariana Almeida,Casa,457.04,BRL,457.04
276,2024-09-11,Sofia Esteves,Moda,707.56,BRL,707.56
277,2023-06-11,Sofia Santos,Eletrônicos,4402.16,BRL,4402.16
278,2023-04-20,Ana Vasconcelos,Esporte,3442.42,BRL,3442.42
280,2024-03-25,Paulo Lopes,Moda,4124.31,BRL,4124.31
282,2023-06-20,Vitória Barbosa,Moda,2512.73,USD,12165.88
283,2024-12-30,Olívia Carvalho,Moda,2257.50,USD,13655.39
284,2023-06-24,Tiago Esteves,Moda,3846.99,BRL,3846.99
285,2023-01-06,Paulo Henriques,Livros,52.63,BRL,52.63
286,2023-05-29,Tiago Vasconcelos,Eletrônicos,1435.86,USD,7133.78
287,2023-11-03,Mariana Carvalho,Esporte,1386.26,BRL,1386.26
288,2024-12-06,João Oliveira,Casa,665.75,BRL,665.75
289,2023-01-02,Olívia Duarte,Moda,1681.89,BRL,1681.89
291,2023-06-09,Sofia Lopes,Livros,2832.81,BRL,2832.81
292,2023-10-15,Karina Nogueira,Moda,4324.80,BRL,4324.80
293,2024-06-21,Diego Martins,Moda,2423.13,USD,12999.37
294,2024-06-12,Eduarda Gomes,Livros,1568.31,USD,8413.51
295,2023-11-16,Gabriela Lopes,Casa,1377.47,BRL,1377.47
296,2023-10-18,Felipe Carvalho,Casa,4517.48,USD,22965.06
297,2024-09-23,Karina Gomes,Esporte,4014.88,USD,21995.12
298,2024-09-23,Lucas Nogueira,Casa,170.59,BRL,170.59
299,2023-04-20,Carla Klein,Livros,811.68,BRL,811.68
300,2023-08-30,Carla Teixeira,Eletrônicos,4112.83,BRL,4112.83
301,2023-03-04,Eduarda Teixeira,Eletrônicos,1471.32,BRL,1471.32
302,2024-03-21,Lucas Carvalho,Esporte,1484.67,USD,7410.43
303,2024-12-20,Karina Nogueira,Livros,957.10,BRL,957.10
304,2023-01-17,Paulo Oliveira,Moda,3482.32,BRL,3482.32
307,2023-10-29,Bruno Vasconcelos,Esporte,276.92,USD,1407.75
308,2023-10-09,Ana Duarte,Esporte,893.23,BRL,893.23
309,2024-05-22,Nuno Nogueira,Livros,4211.47,BRL,4211.47
311,2024-06-28,Nuno Vasconcelos,Casa,3277.94,USD,17585.16
312,2023-07-04,Ana Almeida,Eletrônicos,1770.14,BRL,1770.14
313,2024-12-26,Carla Vasconcelos,Esporte,937.36,USD,5670.00
314,2023-11-28,Carla Jesus,Livros,4066.92,BRL,4066.92
315,2024-10-20,Olívia Jesus,Eletrônicos,2498.00,USD,13992.55
316,2024-05-17,Mariana Carvalho,Eletrônicos,623.39,BRL,623.39
317,2024-04-15,João Gomes,Eletrônicos,1962.27,BRL,1962.27
318,2024-08-30,Mariana Carvalho,Casa,4832.57,BRL,4832.57
320,2023-04-10,Felipe Teixeira,Eletrônicos,1699.57,BRL,1699.57
321,2023-08-07,Tiago Ferreira,Eletrônicos,841.48,BRL,841.48
323,2023-06-28,Bruno Vasconcelos,Livros,1519.60,BRL,1519.60
325,2024-04-09,Bruno Santos,Eletrônicos,3611.84,BRL,3611.84
326,2024-02-27,Mariana Henriques,Esporte,4639.94,USD,23025.24
327,2024-12-09,Isabela Esteves,Livros,4433.42,BRL,4433.42
328,2024-06-18,Gabriela Teixeira,Livros,1253.88,BRL,1253.88
329,2024-04-26,Rafael Barbosa,Livros,2272.65,BRL,2272.65
331,2023-01-02,Carla Nogueira,Casa,3495.59,BRL,3495.59
332,2024-11-21,Bruno Duarte,Livros,2802.17,USD,16231.01
333,2024-12-20,Henrique Lopes,Casa,1876.18,USD,11348.83
334,2024-01-12,Carla Gomes,Livros,4783.04,BRL,4783.04
336,2024-05-12,Rafael Santos,Casa,3949.74,BRL,3949.74
338,2023-06-01,Sofia Ferreira,Eletrônicos,743.78,BRL,743.78
339,2024-08-10,Tiago Pereira,Eletrônicos,2763.18,USD,15332.33
340,2023-10-12,Carla Santos,Eletrônicos,3023.15,BRL,3023.15
341,2023-12-26,Olívia Santos,Livros,835.43,BRL,835.43
342,2024-06-21,Carla Teixeira,Eletrônicos,3556.29,BRL,3556.29
343,2024-07-26,Henrique Almeida,Moda,1452.33,BRL,1452.33
344,2024-05-07,Isabela Queiroz,Eletrônicos,1312.16,USD,6761.04
345,2023-12-31,João Ribeiro,Eletrônicos,490.47,BRL,490.47
346,2023-04-09,Lucas Esteves,Não informado,2434.26,BRL,2434.26
347,2024-12-07,Rafael Santos,Eletrônicos,673.32,USD,4072.85
348,2023-06-26,Ana Duarte,Moda,4904.94,BRL,4904.94
350,2023-12-23,Rafael Vasconcelos,Esporte,3584.00,BRL,3584.00
351,2024-12-15,Olívia Duarte,Casa,2049.27,BRL,2049.27
352,2023-03-26,Diego Nogueira,Esporte,1144.55,BRL,1144.55
353,2023-01-14,Paulo Duarte,Esporte,2014.65,USD,10479.00
354,2024-05-26,Tiago Teixeira,Livros,4936.88,BRL,4936.88
355,2023-02-24,Paulo Almeida,Livros,3123.04,BRL,3123.04
356,2024-07-09,Sofia Santos,Não informado,4402.13,BRL,4402.13
357,2023-11-07,Felipe Queiroz,Casa,3380.91,USD,16645.91
358,2024-01-22,Lucas Klein,Eletrônicos,4050.75,BRL,4050.75
359,2023-09-08,João Teixeira,Eletrônicos,2700.73,USD,13361.05
361,2024-07-02,Isabela Barbosa,Esporte,477.77,BRL,477.77
362,2023-11-06,João Oliveira,Casa,3363.67,BRL,3363.67
363,2024-04-23,Sofia Vasconcelos,Livros,1018.95,USD,5236.28
364,2024-10-11,Nuno Jesus,Moda,975.47,USD,5464.10
365,2023-05-20,Isabela Santos,Eletrônicos,4299.85,USD,21362.94
366,2023-05-24,Tiago Ribeiro,Esporte,2635.22,BRL,2635.22
367,2023-08-30,Gabriela Esteves,Moda,2954.98,BRL,2954.98
368,2023-05-29,Lucas Klein,Não informado,4209.68,BRL,4209.68
369,2024-12-18,Diego Santos,Livros,4889.42,BRL,4889.42
370,2024-10-21,Bruno Jesus,Livros,3591.84,BRL,3591.84
371,2023-12-01,Ana Barbosa,Moda,2014.84,USD,9874.93
372,2024-08-31,Karina Pereira,Moda,2083.72,BRL,2083.72
373,2024-10-03,Carla Pereira,Moda,4790.04,USD,26831.41
374,2024-12-31,Isabela Klein,Livros,1428.82,BRL,1428.82
375,2024-01-14,Olívia Carvalho,Não informado,3470.53,BRL,3470.53
376,2023-12-07,Paulo Martins,Esporte,2532.07,USD,12409.93
377,2023-12-14,Eduarda Carvalho,Esporte,4892.03,BRL,4892.03
378,2023-09-28,Nuno Ferreira,Livros,3293.26,BRL,3293.26
379,2024-05-21,Lucas Santos,Livros,485.83,USD,2503.29
380,2023-01-05,Tiago Ferreira,Eletrônicos,149.17,BRL,149.17
382,2024-10-21,Bruno Carvalho,Esporte,4824.98,USD,27027.13
383,2024-05-17,João Vasconcelos,Eletrônicos,4428.46,BRL,4428.46
384,2023-02-11,Olívia Henriques,Moda,438.00,BRL,438.00
385,2024-08-05,Carla Barbosa,Esporte,2850.41,BRL,2850.41
386,2023-03-27,João Lopes,Livros,1719.44,BRL,1719.44
387,2024-02-09,Felipe Queiroz,Livros,2443.34,BRL,2443.34
388,2023-01-15,Ana Gomes,Moda,4212.75,BRL,4212.75
389,2024-05-11,Olívia Teixeira,Casa,59.11,USD,304.57
390,2024-05-14,Rafael Teixeira,Livros,1592.55,BRL,1592.55
391,2023-01-22,Gabriela Queiroz,Moda,4609.31,BRL,4609.31
392,2024-10-30,Paulo Ferreira,Casa,882.73,BRL,882.73
394,2024-12-07,Vitória Duarte,Livros,4872.83,BRL,4872.83
395,2024-01-06,João Pereira,Livros,1685.94,BRL,1685.94
396,2024-06-01,Isabela Martins,Livros,3771.69,USD,20233.99
397,2024-01-06,Olívia Esteves,Esporte,4909.10,BRL,4909.10
398,2024-06-16,Nuno Nogueira,Esporte,1733.49,BRL,1733.49
399,2024-09-25,Lucas Nogueira,Casa,3704.69,BRL,3704.69
400,2024-07-06,Henrique Klein,Esporte,2546.79,BRL,2546.79
401,2024-08-18,Sofia Vasconcelos,Casa,1900.34,USD,10544.61
402,2023-04-05,Eduarda Queiroz,Eletrônicos,2603.78,BRL,2603.78
403,2023-06-16,Eduarda Queiroz,Moda,3477.74,BRL,3477.74
404,2024-08-08,Rafael Esteves,Casa,3959.38,BRL,3959.38
405,2023-12-24,Bruno Oliveira,Casa,2386.11,BRL,2386.11
406,2023-11-30,Vitória Vasconcelos,Moda,3358.11,USD,16533.65
407,2023-05-07,Carla Gomes,Esporte,962.92,BRL,962.92
408,2024-08-16,Sofia Vasconcelos,Esporte,139.68,BRL,139.68
409,2024-02-22,Bruno Vasconcelos,Moda,729.23,USD,3618.73
410,2024-05-31,Diego Jesus,Livros,3174.37,USD,16356.26
411,2024-02-21,Rafael Gomes,Moda,2696.34,BRL,2696.34
412,2023-03-03,Paulo Jesus,Livros,4205.75,BRL,4205.75
413,2023-10-14,Gabriela Vasconcelos,Casa,4897.63,BRL,4897.63
414,2023-05-17,Ana Vasconcelos,Eletrônicos,3521.70,BRL,3521.70
415,2023-05-07,Mariana Vasconcelos,Moda,641.11,BRL,641.11
416,2024-10-02,Henrique Henriques,Casa,1060.96,BRL,1060.96
417,2024-08-02,Vitória Teixeira,Esporte,4279.42,BRL,4279.42
419,2024-03-06,Karina Almeida,Casa,1143.32,BRL,1143.32
420,2023-01-25,Karina Jesus,Livros,2607.41,BRL,2607.41
421,2023-02-04,Carla Esteves,Livros,3393.56,USD,17588.82
422,2024-01-29,Nuno Vasconcelos,Casa,2595.15,USD,12764.76
423,2024-05-07,Olívia Ferreira,Eletrônicos,3264.80,BRL,3264.80
424,2024-06-14,Eduarda Barbosa,Esporte,1017.57,BRL,1017.57
425,2024-08-15,Karina Vasconcelos,Casa,2489.19,BRL,2489.19
426,2024-01-20,Felipe Almeida,Eletrônicos,2212.74,USD,10883.80
427,2023-06-28,Sofia Henriques,Eletrônicos,3393.00,USD,16427.89
428,2024-09-30,Carla Duarte,Moda,1883.35,BRL,1883.35
429,2023-09-11,Isabela Esteves,Esporte,2363.40,USD,11692.21
430,2024-12-30,Paulo Queiroz,Esporte,202.16,BRL,202.16
431,2024-01-19,Carla Esteves,Casa,2336.44,BRL,2336.44
432,2023-08-28,Carla Martins,Casa,3932.84,BRL,3932.84
435,2023-07-12,Nuno Gomes,Esporte,4716.95,USD,22700.32
436,2024-07-04,Tiago Almeida,Eletrônicos,1664.25,BRL,1664.25
437,2023-07-12,Karina Teixeira,Casa,4135.00,USD,19899.69
