order_id,order_date,customer,category,amount,reject_reason
1036,Feb 28 2023,Lucas Gomes,diversos,"R$ 2.788,92",categoria desconhecida
1048,2024-10-23,Karina Duarte,  eletronicos,"  0,00",valor não positivo
1050,20/11/2024,"",Moda,"2.221,88",cliente ausente
1054  ,2023-04-09,"",Casa,"4.496,83",cliente ausente
1057,2023-04-22 10:30:00,"",Moda,"1.143,23",cliente ausente
1061,2023-06-16,Henrique Vasconcelos,Livros,"",valor ausente
1068,2024-13-18,Bruno Ribeiro,Eletrônicos,USD 4392.48,data inválida
1078,2023-12-02,Paulo Ribeiro,misc,$ 2135.30,categoria desconhecida
1085,2024-09-24,Tiago Ferreira,Livros,"-50,00",valor não positivo
1086,2024-11-03,Rafael Santos,Livros,"",valor ausente
  1088,2023-03-02,Karina Santos,Esporte,"-50,00  ",valor não positivo
  1102,2024-03-05,Sofia Vasconcelos,diversos,"R$ 513,91",categoria desconhecida
1106,2023-13-29,João  Klein,MODA,"R$ 737,24",data inválida
1109,2024-13-20,Vitória Santos,Casa,"4.902,73",data inválida
1115,2024-05-06,  Mariana Henriques,diversos,"4.861,78",categoria desconhecida
1120,2024-07-16,  Nuno Carvalho,Casa,"",valor ausente
1143,2024-01-28,"",Casa,"R$ 3.862,28",cliente ausente
1150  ,14/05/2023,Gabriela Ferreira,diversos,"R$ 2.420,55",categoria desconhecida
1154,2024-03-27,Isabela Pereira,Moda,"",valor ausente
1156,02/11/2023,Tiago Oliveira,outros,"3.235,81",categoria desconhecida
1158,Aug 01 2024,Felipe Vasconcelos  ,diversos,"3.886,82",categoria desconhecida
1168,2024-07-09,Nuno Jesus,misc,"3.925,45",categoria desconhecida
1179,27/06/2023,Nuno Jesus,Eletrônicos,"",valor ausente
1193,  2023-12-03,"",eletronicos,"R$ 2.072,62",cliente ausente
1202,2023-05-12,"",Eletrônicos,"R$ 2.052,28",cliente ausente
1206,2024-10-12,Paulo Esteves,misc,"R$ 4.166,61",categoria desconhecida
1215,2023-13-12,Sofia Esteves,esporte,"818,14",data inválida
1222,2024-04-04,"",  Esporte,"R$ 1.978,53",cliente ausente
0,2023-07-10,Paulo Queiroz,Eletrônicos,USD 3218.42,order_id inválido
1245,Mar 31 2024  ,Mariana Duarte,misc,"R$ 2.097,09",categoria desconhecida
0,  04/10/2023,Bruno Henriques,Casa,"R$ 1.673,58",order_id inválido
1282,20/07/2023,"",diversos,"2.520,42",cliente ausente; categoria desconhecida
1284  ,2023-05-12,Eduarda  Jesus,outros,"669,63",categoria desconhecida
1298,2024-12-08  ,Bruno Carvalho  ,Livros,n/a,valor inválido
1306,Jan 03 2024,Vitória Klein,esporte,-,valor inválido
1309,2019-11-23,Nuno Oliveira,Eletrônicos,"R$ 519,26  ",data fora do intervalo
1320,2024-01-23,"",Casa,"R$ 1.123,38",cliente ausente
1325,2023-11-13 10:30:00,"",Esporte,$ 3972.92  ,cliente ausente
1354  ,07/03/2024,Diego Lopes,Esportes,  -,valor inválido
1366,2024-09-15,"",Esportes,USD 1630.43,cliente ausente
1370,2024-06-03,Bruno Queiroz,Esporte,n/a,valor inválido
1371,17/01/2023,Bruno Almeida,Livros,"",valor ausente
0,Mar 06 2023,Karina Santos,  Eletrônicos,"R$ 3.186,74",order_id inválido
1383,2024-06-10,Diego Ribeiro,Livros,"",valor ausente
1391,2023-13-07,Mariana Ribeiro,Livros,-,data inválida; valor inválido
  1396,2023-01-10 10:30:00,Nuno Henriques,  Casa,n/a,valor inválido
1407  ,2024-06-27,Felipe Barbosa,Moda,"",valor ausente
1416,2024-01-12  ,"",Livros,"607,51",cliente ausente
1427,2023-12-02,"",Casa,"R$ 3.911,27",cliente ausente
1431,2024-01-13,  Paulo Pereira,Livros,"0,00",valor não positivo
1440,2019-08-25,Nuno Nogueira,Livros,"3.706,30",data fora do intervalo
  1449,2023-03-06,Bruno Gomes,outros,"2.672,88",categoria desconhecida
1453,2023-05-30,Gabriela Jesus,Eletrônicos,"",valor ausente
"",2023-09-15,Tiago Pereira,eletro,"4.049,77",order_id inválido
  1481,2024-13-14,Paulo Klein,  LIVRO,n/a,data inválida; valor inválido
1482,2024-01-28,Isabela Teixeira,misc  ,"R$ 4.720,96",categoria desconhecida
1503,2023-12-16,Felipe Queiroz,misc,"  4.696,75",categoria desconhecida
1504,2024-13-29,Olívia Martins,Casa,"R$ 3.954,63",data inválida
1505,16/08/2024,"",Livros,"R$ 4.216,54",cliente ausente
1508  ,2023-07-26,Gabriela Henriques,diversos,"R$ 1.164,02",categoria desconhecida
1509,2023-13-22,Ana Nogueira,vestuario,"3.896,27  ",data inválida
1512,2024-08-27,Felipe Duarte,Eletrônicos,-,valor inválido
1521,2023-13-14,João Santos,Moda,USD 3013.78,data inválida
1525,2023-02-03,Vitória Henriques,diversos,"4.153,47",categoria desconhecida
1528,2023-06-22,Felipe Klein,Moda,"",valor ausente
1538  ,2023-08-09,Nuno Almeida,  ESPORTE,-,valor inválido
0,2023-13-25,João Pereira,Moda,"R$ 2.340,71",order_id inválido; data inválida
1546,2023-13-30,Bruno Ribeiro,Eletrônicos,"1.059,44",data inválida
1549,2023-09-13  ,Henrique Klein,outros,"4.242,21",categoria desconhecida
1550,2024-10-06,Rafael Almeida,Livros,"0,00",valor não positivo
1553,2023-09-27,Vitória Henriques,livros,n/a,valor inválido
1568,2024-05-12,"",Esporte,USD 3483.41,cliente ausente
1578,2023-01-24,Gabriela Lopes,Eletrônicos,"",valor ausente
1581,10/07/2024,Mariana Henriques,misc,"R$ 847,07",categoria desconhecida
1593,2023-13-01,Gabriela Pereira,ESPORTE  ,"R$  2.069,68",data inválida
1599,2023-13-22,Ana Jesus,Esporte,"2.587,74",data inválida
1604  ,2023-02-04  ,Lucas Lopes  ,Livros,"0,00",valor não positivo
1611,26/04/2023,"",Eletrônicos,"R$ 229,64",cliente ausente
1617  ,2024-06-11,"",Livros,"R$ 2.893,98",cliente ausente
1625,17/06/2024,Mariana Ribeiro,casa_decoracao,-,valor inválido
1629,2019-06-19,Felipe Teixeira,Livros,USD 3055.94,data fora do intervalo
1630,2024-01-31,"",Moda,"R$ 2.746,67",cliente ausente
1633,2019-06-18,Nuno Ferreira  ,Casa,"R$ 1.059,51",data fora do intervalo
1635,2023-11-20,Diego Nogueira,misc,"R$ 1.511,19",categoria desconhecida
1639,2023-06-10,Sofia Klein,Eletrônicos,"0,00",valor não positivo
0,2023-05-26,Karina Santos,Moda,"R$ 1.385,90",order_id inválido
1673,2024-09-11,Nuno Martins  ,diversos,"R$ 3.471,28",categoria desconhecida
1690,2023-05-06,Sofia Gomes,Esporte,n/a,valor inválido
1695,09/04/2023,Sofia Henriques,Moda,-,valor inválido
1696,2024-01-07,Isabela Esteves,ESPORTE,n/a,valor inválido
1701,04/04/2023,"",Livros,"3.420,11",cliente ausente
1711,15/02/2024,"",Esporte,"  148,92",cliente ausente
  1725,2023-06-11,Paulo Klein,diversos,"R$ 2.495,71",categoria desconhecida
1726,04/02/2023,"",Esporte,"R$ 331,19",cliente ausente
1727,Aug 22 2023,Carla Gomes,Esportes,"",valor ausente
1735,05/05/2023,"",Casa,"R$ 4.338,10",cliente ausente
1740,2024-04-15,"",Livros,"82,25",cliente ausente
1744,2024-12-25,"",Moda,"492,16",cliente ausente
ORD-1023,2023-07-23,Isabela Queiroz,eletronicos,"R$ 2.631,81",order_id inválido
1755,13/05/2023,Lucas Henriques,Moda,"",valor ausente
1757,2024-02-21,  João Ribeiro,outros,$ 1122.33,categoria desconhecida
1758,2023-13-21,Karina Duarte,misc,"2.591,73",data inválida; categoria desconhecida
1760,2023-04-01,Paulo Oliveira,misc,"R$ 1.652,54",categoria desconhecida
1769,19/06/2023,Lucas Nogueira,  Eletrônicos,-,valor inválido
1783,2024-06-14 10:30:00,Sofia Martins,Eletrônicos  ,n/a,valor inválido
1792,16/04/2024,Sofia Almeida,outros,"R$ 675,97",categoria desconhecida
1795,2023-13-10,Tiago Ribeiro,Livros,"R$ 946,84",data inválida
1796,2024-06-01,Carla Queiroz,outros,"R$ 2.652,57",categoria desconhecida
1798,2023-01-07,Paulo Martins,Eletrônicos,"",valor ausente
1801,2023-11-18,Ana Martins,Livros,"0,00",valor não positivo
1805,2023-09-01,"",Casa,"283,47",cliente ausente
ORD-1023,2023-01-13,Karina Oliveira,Moda,"2.064,67",order_id inválido
1814,2023-04-25,Felipe Esteves,diversos,"1.215,67",categoria desconhecida
1832,  2023-06-22,Eduarda Almeida,Moda,n/a,valor inválido
1836,2023-13-11  ,"",Moda,"  811,21",data inválida; cliente ausente
1838,2024-12-05,Henrique Gomes,Casa,"",valor ausente
1857,2023-07-15,Tiago Ferreira,Esporte,n/a,valor inválido
1861,2024-12-10,"",Eletrônicos  ,n/a,cliente ausente; valor inválido
1862,2023-05-10 10:30:00,João Queiroz,  outros,"429,00",categoria desconhecida
0,2024-06-07,Mariana Klein,Moda,"R$ 1.837,30",order_id inválido
1884,2024-13-18,Gabriela Jesus,Casa,"816,10",data inválida
1885,2023-01-19,"",diversos,"R$ 3.148,05",cliente ausente; categoria desconhecida
1887  ,2023-07-21,"",Esporte,"R$ 4.431,33",cliente ausente
ORD-1023,Jul 04 2024,Vitória Barbosa,Modas,"1.244,21",order_id inválido
1905,2023-10-10,Ana Oliveira,Esporte,"0,00",valor não positivo
1944,2024-03-19,Olívia Santos,Moda,"",valor ausente
1945,2023-08-28,Felipe Ferreira,misc,"4.037,63",categoria desconhecida
1947,2023-09-14,Vitória Queiroz,diversos,"4.980,02",categoria desconhecida
0,2023-13-24,Rafael Ferreira,Moda,$ 3093.34,order_id inválido; data inválida
1964,2024-08-18,"",Moda,"R$ 425,18",cliente ausente
  1976,2024-13-22,Paulo Nogueira,Casa e Decoração,"3.619,87",data inválida
1982,2023-09-14,"",LIVRO,$ 3167.90,cliente ausente
1986,2024-08-21,"",casa,"  R$ 3.691,56",cliente ausente
1995,2024-11-29,  Rafael Martins,Moda,"",valor ausente
2010,2024-09-03  ,"",Casa e Decoração,"2.485,32",cliente ausente
2029,Sep 02 2023,Ana Barbosa,Casa,-,valor inválido
ORD-1023,2024-07-13  ,Lucas Pereira,Esporte,USD 989.33,order_id inválido
2031,2024-10-02,Olívia Nogueira,misc,"R$ 2.699,98",categoria desconhecida
2035,11/10/2024,"",LIVRO,"3.741,56  ",cliente ausente
  2046,2023-08-13,Bruno Klein,livros,"",valor ausente
2057,2023-11-09,"",misc,"R$ 1.860,13",cliente ausente; categoria desconhecida
2061,2024-02-15,"",  livros,"R$ 4.814,84",cliente ausente
2074,2023-01-15,Ana Lopes,Esporte,"",valor ausente
2078,03/02/2024,"",eletronicos,"R$ 2.174,53  ",cliente ausente
2082,30/04/2024,Lucas Teixeira,esporte,"",valor ausente
2084,26/04/2024,Bruno Ferreira,  Moda,"",valor ausente
2099,2024-02-27,Tiago Vasconcelos,outros,"R$ 3.545,01",categoria desconhecida
2122,2024-13-21,Nuno Henriques,outros,"4.067,68",data inválida; categoria desconhecida
0  ,2024-02-19,Olívia Ribeiro,moda,"R$ 3.561,24",order_id inválido
2151,12/03/2024,"",vestuario,"R$ 208,48",cliente ausente
2153,2023-03-21,Paulo Vasconcelos,Livros,"",valor ausente
2154,2024-03-08,  Nuno Martins,misc,"3.817,96",categoria desconhecida
2155,2024-12-03,Carla Jesus,ESPORTE,"",valor ausente
2161,2023-09-28,"",outros,$ 3097.41,cliente ausente; categoria desconhecida
  2162,2024-13-28,Tiago Gomes,Livros,"R$ 4.191,78",data inválida
ORD-1023,2024-04-04,Tiago Klein  ,casa,"1.822,23",order_id inválido
2172,2023-13-21,Mariana Oliveira,esporte,USD 2138.15,data inválida
2174,2023-11-19,"",outros,"498,53",cliente ausente; categoria desconhecida
2179,2024-05-29,Isabela Pereira,Livros,"0,00",valor não positivo
2183,Jun 04 2023,"",Eletrônicos,"577,23",cliente ausente
2198,2024-04-02 10:30:00,Sofia Carvalho,livros,n/a,valor inválido
2208,2024-07-27,"",Moda,"2.396,63",cliente ausente
2219,16/08/2024,"",  livros,"R$ 4.304,21  ",cliente ausente
0,2024-04-04,Eduarda Carvalho,esporte,"R$ 4.744,02",order_id inválido
  2229,2023-08-27  ,"",livros,"4.059,37",cliente ausente
2256,2024-03-06,Diego Martins,misc,"R$ 4.581,49",categoria desconhecida
2259,2023-06-14,Paulo Ribeiro,livraria,-,valor inválido
0,02/11/2024,Nuno Gomes  ,Esporte,"3.257,17",order_id inválido
2265,2024-12-21,Nuno Klein,misc,"R$ 3.183,69",categoria desconhecida
2270,2024-04-19,Nuno Queiroz,Eletrônicos,n/a,valor inválido
2273,2019-07-24,Carla Esteves,Livros,"201,02",data fora do intervalo
ORD-1023,23/02/2023,Paulo Barbosa,Esporte,"2.215,33",order_id inválido
2305,2024-13-29,  Henrique Almeida,Eletrônicos,"1.301,24",data inválida
2310  ,2024-13-25,Nuno Ribeiro,Casa,"2.144,19",data inválida
2312,2019-04-29,Carla Martins,Esporte,"R$ 2.800,16",data fora do intervalo
2318,2023-13-09,Felipe Vasconcelos,Eletrônicos,$ 1907.19,data inválida
"",2023-08-06,Carla Queiroz,Livros,"",order_id inválido; valor ausente
2332  ,2024-07-18,Carla Santos,MODA,n/a,valor inválido
2341,2024-13-15,Mariana Pereira,Casa,$ 1968.98,data inválida
2352,Oct 24 2023,"",  Livros,$ 3448.66,cliente ausente
2361,09/07/2023,Felipe Oliveira,vestuario,n/a,valor inválido
2362,2024-04-07,Eduarda  Teixeira,Esporte,"",valor ausente
2368,  Mar 29 2023,Felipe Henriques,Livros,n/a,valor inválido
2369,2023-13-19,Diego Ferreira,misc,"R$ 1.438,79",data inválida; categoria desconhecida
2381,2024-10-16,"",Moda,"544,19",cliente ausente
ORD-1023,2023-08-26,Carla Klein,Moda,n/a,order_id inválido; valor inválido
2394,2019-01-13,  Tiago Ferreira,Casa e Decoração,"1.786,96",data fora do intervalo
2410,2023-13-14,Bruno Esteves,Casa,  USD 2398.24,data inválida
2418,  2019-06-11,Gabriela Jesus,ELETRONICOS,n/a,data fora do intervalo; valor inválido
  2426,08/10/2024,Eduarda Henriques,outros,"1.696,81",categoria desconhecida
2429,2024-13-18,Vitória Henriques,Modas,"R$ 1.950,00",data inválida
  2433,2024-01-16,Eduarda Santos,Casa,n/a,valor inválido
2438,2023-09-16,"",MODA,"R$ 4.312,95",cliente ausente
2440,  2024-01-09,Ana Duarte,Esporte,"",valor ausente
2447,2023-12-12,João Santos,Casa,"0,00",valor não positivo
2460,2024-07-31,Ana Lopes,eletro,"",valor ausente
2467  ,2023-02-06,Lucas Henriques,outros,"4.966,20",categoria desconhecida
2473,2019-03-09,  Karina Klein,Casa,"R$ 131,23",data fora do intervalo
ORD-1023,2023-02-25,Henrique Nogueira,outros,"R$ 3.611,43",order_id inválido; categoria desconhecida
2482,09/07/2023,Paulo Esteves,vestuario,"",valor ausente
2484,2024-11-07,"",Moda,"R$ 3.345,89  ",cliente ausente
2487,01/08/2023,Lucas Esteves,casa,"0,00",valor não positivo
2492,2019-02-15,Rafael Ribeiro,  Casa e Decoração,"",data fora do intervalo; valor ausente
2494,Apr 27 2024,Isabela Gomes,esporte,-,valor inválido
  730,2023-07-22,Paulo Vasconcelos,livraria,"",order_id duplicado irreconciliável; valor ausente
2504,2019-06-24,Rafael Almeida,Casa,"0,00",data fora do intervalo; valor não positivo
1969,  2024-10-02,Lucas Teixeira,Casa,"",order_id duplicado irreconciliável; valor ausente
359,2023-09-08,João Teixeira,"",$ 2700.73  ,order_id duplicado irreconciliável
2512,2023-05-25 10:30:00,Felipe Pereira,livros,"",valor ausente
2529,2023-02-20,Isabela Pereira,outros,"2.000,19",categoria desconhecida
2532,2019-12-24,Rafael Nogueira,Esporte,"R$ 2.704,94",data fora do intervalo
2541,2023-05-09,Gabriela Ferreira,outros,"R$ 1.546,57",categoria desconhecida
2542  ,2023-13-24,Nuno Henriques,Casa,"2.905,53",data inválida
2291,2024-10-25,"",Moda,"R$ 1.926,51",order_id duplicado irreconciliável; cliente ausente
329,2024-04-26,"",Livros,"R$ 2.272,65",order_id duplicado irreconciliável; cliente ausente
2569,14/07/2023,Nuno Ribeiro,"","0,00",valor não positivo
2572,2024-13-16,Carla Duarte,Livros,"R$ 318,79",data inválida
2580,2023-03-16,"",Esporte,"R$ 798,55",cliente ausente
865,2024-02-05,"",Eletrônicos,"  393,62",order_id duplicado irreconciliável; cliente ausente
2586,2024-05-29,Rafael Barbosa,Eletrônicos,n/a,valor inválido
2595,  2024-01-09,"",Livros,"",cliente ausente; valor ausente
211,2024-09-09,Gabriela Klein,"",$ 222.22,order_id duplicado irreconciliável
1415,09/09/2023,Henrique Oliveira,eletronicos,"",order_id duplicado irreconciliável; valor ausente
95,2023-08-09 10:30:00,Bruno Barbosa,Esporte,"",order_id duplicado irreconciliável; valor ausente
1632,2023-10-28,Rafael Jesus,"",USD 4591.05,order_id duplicado irreconciliável
2657,18/01/2023,"",Moda,"R$ 505,35",cliente ausente
1676,2024-04-02,"",Casa,"R$ 1.578,58",order_id duplicado irreconciliável; cliente ausente
1342,06/02/2023,"",Casa  e Decoração,"1.712,45",order_id duplicado irreconciliável; cliente ausente
2669,2024-13-14,Bruno Santos,Esporte,"R$ 3.555,06",data inválida
2671,2024-10-02,"",misc,"R$ 1.469,02",cliente ausente; categoria desconhecida
  1531,07/07/2023,Lucas Ferreira,"","4.138,79",order_id duplicado irreconciliável
2333,2023-08-19,Bruno Almeida,Eletrônicos,"",order_id duplicado irreconciliável; valor ausente
2701,2023-13-25,Isabela Klein,Casa,USD 3444.86,data inválida
1342,06/02/2023,Carla Barbosa,"","1.712,45",order_id duplicado irreconciliável
