order_id,order_date,customer,category,amount
134,2023-12-20,Paulo Duarte,ELETRONICOS,"3.924,86"
135,2023-12-18,Felipe Henriques,ESPORTE,"3.992,01"
136,2023-01-05,Gabriela Jesus,Eletrônicos,"R$ 1.841,22"
137  ,2023-12-23,Olívia Vasconcelos,Casa,"R$ 1.579,28"
138,2024-10-12,Felipe Santos,Casa e Decoração,"4.329,42"
139,2024-12-28,Paulo Ferreira,Eletrônicos,$ 1139.42
140,2024-07-10,Lucas Santos,Eletrônicos  ,"2.136,79"
141,2023-05-01,Henrique Gomes,Esporte,"2.151,79"
142,2024-12-21,Tiago Jesus,Esporte,USD 4813.64
143,11/09/2023,Mariana Queiroz,Casa,USD 3976.29
144,2023-04-06,Olívia Martins,Esporte,"R$ 2.483,14"
145,17/02/2023,Olívia Almeida,Moda,""
  146,2023-10-08,Lucas Jesus,Modas,"R$ 2.157,08"
0,2023-05-04,Nuno Esteves,Moda,USD 1580.11
  148,2023-01-09,Felipe Pereira,Moda,"3.438,38"
149,11/09/2023,Carla Henriques,Esporte,"153,46"
150,03/09/2023,Diego Henriques,esporte,"677,06"
151,2023-03-11,"",Eletrônicos,"3.568,15"
152,2023-03-22,Gabriela Esteves,Livros,"R$ 3.222,23"
153,26/02/2023,Felipe Duarte,"",$ 2491.59
154,May  01 2023,Ana Lopes,Casa,"R$ 3.144,45"
155,29/04/2023,Rafael Almeida,diversos,"R$ 1.926,79"
156,2024-03-02,Karina Jesus  ,Esporte,"912,87"
157,2024-04-12,"",Esporte,"1.853,57"
158,2024-02-24,Sofia Martins,Eletrônicos,""
  159,2023-03-03,Eduarda Jesus,Moda,"1.874,57"
160,14/05/2023,Isabela Lopes,Livros,"R$ 1.374,00"
161,2024-07-02,Gabriela Pereira,Casa,"1.534,62"
  162,2023-02-20,  Isabela Ferreira,outros,"R$ 2.759,01"
163,22/10/2024,Tiago Jesus,eletronicos,"R$  4.049,48"
164,23/05/2024,Nuno Ferreira,vestuario  ,$ 3102.84
165,22/06/2024,Sofia Almeida,Casa,"R$ 2.836,33"
166,2024-13-26,Tiago Henriques,ELETRONICOS,"R$ 4.587,03"
167,30/06/2023,Karina Martins,Eletrônicos,"727,44"
168,2024-09-08,Rafael Queiroz,"","669,62"
169,2023-04-24,Lucas Carvalho,Livros,"4.878,81"
170,Sep 20 2024,Henrique Teixeira,Livros,USD  3648.82
171,18/09/2024,Tiago Duarte,Moda,"1.610,82"
172,2024-12-10,Isabela Duarte  ,Eletrônicos,"R$ 4.424,17"
173,  2024-04-07,Bruno Klein,"",USD 1721.80
174,17/03/2024,Felipe Vasconcelos,Modas,"3.491,31"
175,2023-02-25  ,Nuno Carvalho,Esporte,"3.197,52"
176,2024-01-15,Lucas Ferreira,Casa,"R$ 2.829,34"
177,2024-02-01,Nuno Santos,Livros,"1.985,67"
178,27/06/2023,Felipe Gomes,moda,"4.985,40  "
179,2023-10-10,Ana Vasconcelos  ,livros,"3.795,94"
180,2024-11-01,Vitória Queiroz,outros  ,"R$ 3.409,74"
181  ,2023-11-07,Paulo Duarte,vestuario,"3.648,67"
182,11/06/2024,Carla Klein,livraria,USD 979.69
183,01/06/2024,Diego Almeida,Livros,"R$ 2.942,04"
184,2024-08-08,Gabriela Henriques,vestuario,"4.835,38"
185,2024-12-30  10:30:00,Isabela Oliveira,Casa,"2.612,21"
186,2024-12-01,Carla Lopes,Casa,"R$ 4.463,12"
187,28/11/2024,Ana Queiroz,Casa,"2.922,83"
188,2024-01-03 10:30:00,Felipe Santos,Eletrônicos,"2.803,37"
189,2023-12-06,Tiago Klein,Eletrônicos,"R$ 4.721,67"
190,May 21 2023  ,Karina Oliveira,livraria,USD 1676.10
191,2023-04-01,Nuno Oliveira,Livros,-
192,2019-05-08,Lucas Klein,Livros,USD 247.54
193,2024-13-16,Gabriela Ferreira,livros,USD 3674.94
194,2023-02-19  ,Ana Barbosa,Livros,"R$ 3.514,57"
195,2023-04-18,Vitória Duarte,Eletrônicos,"4.160,02"
196,2023-08-29  ,"",Eletrônicos,USD 468.43
  197,2023-02-21,Felipe Barbosa,Casa,"492,91"
198,Apr 06 2023,Karina  Ferreira,Livros,"4.255,48"
199,2024-08-27,Tiago Pereira,Livros,"4.401,26"
200,13/01/2023,Rafael Teixeira,Moda,"2.624,48"
  201,19/09/2024,Felipe Ribeiro,Livros,"1.219,32  "
202,2024-05-25,Diego Queiroz,eletro,-
203,12/04/2024,Lucas Barbosa,Livros,"R$ 3.588,21"
204,2024-06-18,Diego Barbosa,livraria,"R$ 1.286,03"
205,17/02/2023,Tiago Duarte,Livros,"R$ 4.819,03"
206,Dec 09 2024,Eduarda Duarte,Esporte,"2.104,47"
207,2024-09-08,Rafael Klein,Esporte,"R$ 3.169,60"
208,2024-05-30 10:30:00,Karina Duarte,Esporte,"2.098,56"
209,2024-11-17,Isabela Ferreira,casa,"R$ 3.772,12"
210,2024-12-13,Bruno Nogueira,Casa,"1.031,09"
211,2024-09-09,Gabriela Klein,ELETRONICOS  ,$ 222.22
212,2023-11-27,Vitória Klein,Esporte,"2.635,89"
213,Nov 10 2024,Lucas Klein,Esporte,"R$ 4.905,06"
214,25/11/2023,Diego Nogueira,casa_decoracao,"R$ 4.017,20"
215,2023-01-08,Gabriela  Gomes,Livros,"4.394,72"
216,  2023-02-25,Isabela Santos,Moda,"R$ 2.033,69"
  217,16/03/2023,Rafael Duarte,Casa,"1.919,00"
218,2023-05-28 10:30:00,Lucas Almeida,esporte,""
219,Dec 19 2023,Rafael Esteves,Moda,  USD 3360.77
220,2023-12-05,Henrique Duarte,Eletrônicos,"R$ 3.088,73"
"",30/12/2024,Nuno  Jesus,Moda,"2.237,38"
222  ,2024-07-05,Carla Carvalho,Esporte,"R$ 3.849,82"
223,2024-08-26,João Esteves,Esportes,"4.242,09"
224,30/05/2023,Paulo Martins,outros,"1.185,10"
225,16/04/2023  ,Rafael Jesus,Casa,"1.904,58"
226,May 13 2024,Vitória Almeida,Moda,"R$ 1.418,08"
227,2024-11-22,Gabriela Teixeira,livros,"690,70"
228,2024-10-14 10:30:00,"",Casa,"R$ 2.367,11"
229,07/06/2024,Karina Pereira,eletro,USD 2622.53
230,Jun 28 2024,Diego Carvalho,Moda,USD 4688.98
231,2024-01-26,Tiago Duarte,Casa,"1.430,31"
232,2019-12-02,Karina Oliveira,Moda,"2.689,22"
233,2024-07-26,Isabela Klein,Livros,"R$ 3.743,34"
234,24/12/2024,Mariana Almeida,Moda,$ 1329.86
235,2023-02-28 10:30:00,Felipe Queiroz,Moda,"989,56"
236,2023-03-30 10:30:00,Mariana Martins,Livros,"R$ 361,55"
237,19/07/2023,Mariana Teixeira,"","2.801,38"
  238,2024-12-11,Mariana Teixeira,Moda,"2.313,87"
239,  27/02/2024,Rafael Santos,"","483,00"
240,2024-11-30,  Gabriela Queiroz,Moda,"R$ 1.029,49"
241,08/07/2024,Paulo Martins,Livros,"R$ 1.387,82"
242,2024-07-07,Lucas Nogueira  ,Moda,"R$ 1.591,56"
243,2024-04-27,Karina Martins,livraria,"R$ 2.014,49"
244,2024-01-26,Eduarda Queiroz,Moda,"  3.159,98"
245,2023-09-18,Diego Pereira,Casa,"R$ 1.303,09"
246,2023-10-19,Rafael Queiroz,Livros,"R$ 3.165,26"
247,2023-06-15,Karina Lopes,Casa,"3.908,45"
248  ,2023-09-15,Carla Gomes  ,eletro,USD 1996.67
249,15/05/2023,Felipe Almeida,outros,"2.390,72"
250,2024-10-08,Tiago Oliveira,  Esporte,"R$ 4.026,62"
251,2019-09-09,Paulo Klein,"","R$ 1.171,14"
252,04/02/2024,Henrique Jesus,Moda,"  R$ 3.475,02"
253,24/09/2024,Vitória Queiroz,eletronicos,USD 1360.25
254,16/01/2024,Bruno Lopes,vestuario,"976,84"
255,2023-02-04,Diego Ribeiro,Moda,"1.628,46"
256,Aug 12 2023,Henrique Oliveira,Moda,"1.230,27"
257,2024-12-03,Bruno Barbosa,Moda,USD 1178.41
258,2023-05-18,Bruno Queiroz,ESPORTE,"R$ 2.726,64"
259,2023-09-27,Olívia Almeida,Esporte,USD 4286.14
  260,2024-07-18,João  Lopes,casa_decoracao,$ 4689.30
261,27/08/2024,Lucas Henriques,ELETRONICOS,"R$ 4.162,90"
262,2024-09-23,Bruno Carvalho,Eletrônicos,USD 3630.60
263,2023-04-19,Tiago Martins,Livros,"R$ 2.019,29"
264,2024-01-16,  Nuno Lopes,Esporte,"R$ 3.727,23"
265,2023-13-06,"",Moda,n/a
266,2023-06-09,Lucas Teixeira,Casa,"4.590,13"
267,Sep 01 2024,Bruno Teixeira,Eletrônicos,"2.182,35"
268,25/02/2023,Bruno Lopes,Moda  ,USD 3374.00
269,2023-03-26,Bruno Santos,Eletrônicos,"R$ 3.814,14"
270,2023-09-30,Karina Teixeira,Livros,"R$ 2.976,87"
271,2023-08-28,Lucas Esteves,eletronicos,"755,20"
272,  05/08/2023,  Rafael Jesus,Esporte,"111,46"
273,09/01/2023,Isabela Martins,eletro,"R$ 4.882,55"
274,Jan 23 2023,Rafael Klein,Livros,""
275,2023-03-05,Mariana Almeida,Casa e Decoração,"R$ 457,04"
276,2024-09-11 10:30:00,Sofia Esteves,Moda,"707,56"
277,2023-06-11,Sofia Santos,ELETRONICOS,"R$ 4.402,16"
278,20/04/2023,Ana Vasconcelos,Esporte,"R$ 3.442,42"
279,May 18 2024,Felipe Gomes,Livros,""
280,2024-03-25,Paulo Lopes,Moda,"4.124,31"
281,2023-04-22,Bruno Henriques  ,Livros,n/a
282,2023-06-20,Vitória Barbosa,Moda,$ 2512.73
283,2024-12-30,Olívia Carvalho,Moda,$ 2257.50
284,  2023-06-24,Tiago Esteves,moda  ,"R$ 3.846,99  "
285,2023-01-06,Paulo Henriques,Livros,"52,63"
286,2023-05-29,Tiago Vasconcelos,eletro,USD 1435.86
287,2023-11-03,Mariana Carvalho,Esportes,"1.386,26"
288,2024-12-06,João Oliveira,casa_decoracao,"665,75"
289,  2023-01-02 10:30:00,Olívia Duarte,Moda,"1.681,89  "
290,2023-01-07,Karina Lopes,Esporte,-
291,2023-06-09,Sofia Lopes,Livros,"2.832,81"
292,2023-10-15 10:30:00,Karina Nogueira  ,  Moda,"4.324,80"
293,2024-06-21,Diego Martins,Moda,USD 2423.13
294,Jun 12 2024,Eduarda Gomes,Livros,$  1568.31
295,2023-11-16,Gabriela  Lopes,Casa e Decoração,"R$ 1.377,47"
296,18/10/2023  ,Felipe Carvalho,Casa,$ 4517.48
297  ,23/09/2024,Karina Gomes,Esportes,USD 4014.88
298,Sep 23 2024,Lucas Nogueira,Casa,"R$ 170,59"
  299,2023-04-20,Carla Klein,Livros,"R$ 811,68"
300,  2023-08-30,Carla Teixeira,Eletrônicos,"R$ 4.112,83"
301,04/03/2023,Eduarda Teixeira,Eletrônicos,"1.471,32"
302,Mar  21 2024,Lucas Carvalho,Esporte,$ 1484.67  
303,2024-12-20,Karina Nogueira,Livros,"R$ 957,10"
304,2023-01-17,Paulo Oliveira,vestuario,"3.482,32"
305,2023-01-08,Henrique Ribeiro  ,Esporte,-
306,2023-13-14,Carla Ribeiro  ,eletronicos,"2.905,93"
307,2023-10-29,Bruno Vasconcelos,ESPORTE,USD 276.92  
308,09/10/2023,Ana Duarte,  Esporte,"893,23"
309,22/05/2024,Nuno Nogueira  ,Livros,"R$ 4.211,47"
310,29/06/2024,Mariana Queiroz,Esporte,""
311,2024-06-28,Nuno Vasconcelos,Casa,$ 3277.94
312,04/07/2023,Ana  Almeida,Eletrônicos,"1.770,14"
313,26/12/2024  ,Carla Vasconcelos,Esporte,$ 937.36
  314,28/11/2023,Carla Jesus,Livros,"R$ 4.066,92"
  315,2024-10-20,Olívia Jesus,Eletrônico,USD 2498.00
316,2024-05-17,Mariana Carvalho,Eletrônicos,"623,39"
317,2024-04-15,João Gomes,Eletrônicos,"R$ 1.962,27"
318,2024-08-30,Mariana Carvalho,Casa,"R$ 4.832,57"
319,2024-11-25,Sofia  Esteves,Moda,-
320,2023-04-10,Felipe Teixeira,ELETRONICOS,"1.699,57"
321,2023-08-07 10:30:00,Tiago Ferreira,eletro,"R$ 841,48"
322,Mar 24 2023,"",Eletrônicos,"3.472,92"
323,2023-06-28,Bruno Vasconcelos,Livros,"R$ 1.519,60"
324,2024-13-03,Gabriela  Jesus,diversos,"R$ 4.842,53"
325,09/04/2024,Bruno Santos,Eletrônicos,"3.611,84"
326,2024-02-27,Mariana Henriques,Esporte,$ 4639.94
327,2024-12-09,Isabela Esteves,Livros,"4.433,42"
328,2024-06-18,Gabriela Teixeira,livraria,"R$ 1.253,88"
329,2024-04-26,Rafael Barbosa,Livros,"R$ 2.272,65"
330,2023-13-17,João Ferreira,Esporte,n/a
331,02/01/2023,Carla Nogueira,Casa,"3.495,59"
332,2024-11-21,Bruno Duarte,Livros,$ 2802.17  
333,20/12/2024,Henrique Lopes,Casa,$ 1876.18
334,2024-01-12,Carla Gomes,LIVRO,"R$ 4.783,04"
  335,2024-11-29,Eduarda Queiroz,Livros,-
336,12/05/2024,Rafael Santos,Casa,"R$ 3.949,74"
337,14/06/2023,João Ferreira,moda,"-50,00"
338,2023-06-01  10:30:00,Sofia Ferreira,Eletrônicos,"R$ 743,78"
339,Aug 10 2024,Tiago Pereira,  Eletrônicos,$ 2763.18
340,2023-10-12,Carla Santos,Eletrônicos,"3.023,15"
341,2023-12-26,Olívia Santos,Livros,"835,43"
342,2024-06-21,Carla Teixeira,Eletrônico,"3.556,29  "
343,2024-07-26,Henrique Almeida  ,vestuario,"R$ 1.452,33"
344,2024-05-07,Isabela Queiroz,Eletrônicos,USD 1312.16  
345,Dec 31 2023,João Ribeiro,Eletrônicos,"490,47"
346,  09/04/2023,Lucas Esteves,"","R$ 2.434,26"
347,2024-12-07,Rafael Santos,Eletrônicos,$ 673.32
348,  2023-06-26 10:30:00,Ana Duarte,Moda,"  R$ 4.904,94"
349,30/08/2024,Diego Jesus,outros,"3.915,40"
350,2023-12-23 10:30:00,Rafael  Vasconcelos,  ESPORTE,"3.584,00"
351,2024-12-15,Olívia Duarte,Casa,"2.049,27"
352,26/03/2023,Diego Nogueira,Esporte,"R$ 1.144,55"
  353,  2023-01-14,Paulo Duarte,Esporte,USD 2014.65
354,26/05/2024,Tiago Teixeira,Livros,"4.936,88"
355,2023-02-24,Paulo Almeida,Livros,"3.123,04"
356,2024-07-09,Sofia Santos,"","  R$ 4.402,13"
357,Nov 07 2023,Felipe Queiroz,Casa,USD 3380.91
358,2024-01-22,Lucas Klein,Eletrônicos,"4.050,75"
359,2023-09-08,João Teixeira,Eletrônicos,$ 2700.73  
360,2024-13-22,Karina Teixeira,livraria,"4.060,23"
361  ,2024-07-02,Isabela Barbosa,Esporte,"477,77"
362,2023-11-06,João Oliveira,Casa e Decoração,"3.363,67"
363,23/04/2024,Sofia Vasconcelos,Livros,$ 1018.95
364,Oct 11 2024,Nuno Jesus,MODA,$ 975.47
365,2023-05-20,Isabela Santos,Eletrônicos,$ 4299.85
366,2023-05-24,Tiago Ribeiro,Esporte,"R$ 2.635,22"
367,30/08/2023,Gabriela Esteves,Moda,"R$ 2.954,98"
368,May 29 2023,Lucas Klein,"","4.209,68"
  369,2024-12-18,Diego Santos,Livros,"R$ 4.889,42"
370,21/10/2024,Bruno Jesus,Livros,"3.591,84"
371,  01/12/2023,Ana Barbosa,Moda,USD 2014.84
372,2024-08-31,Karina Pereira,Modas,"R$ 2.083,72"
373,03/10/2024,Carla Pereira,vestuario,$ 4790.04
374,2024-12-31,Isabela Klein,livros,"1.428,82"
375,Jan 14 2024,Olívia Carvalho,"","3.470,53"
376,2023-12-07,Paulo Martins,Esporte,  $ 2532.07
377,2023-12-14,Eduarda Carvalho,Esporte,"R$ 4.892,03"
  378,  28/09/2023,Nuno Ferreira  ,Livros,"3.293,26"
379,May 21 2024,Lucas Santos,livraria,USD 485.83
380,2023-01-05,Tiago Ferreira,eletro,"149,17"
381,2024-12-25,Olívia Jesus,Eletrônicos,"-50,00"
  382,2024-10-21,Bruno Carvalho,Esporte,USD 4824.98
383,2024-05-17,João Vasconcelos,Eletrônicos,"R$ 4.428,46"
384  ,2023-02-11,Olívia Henriques,Moda,"R$ 438,00"
385,2024-08-05,Carla  Barbosa,Esporte,"R$ 2.850,41"
386,2023-03-27,João  Lopes,Livros,"1.719,44"
387,2024-02-09,Felipe Queiroz,Livros,"2.443,34"
388,2023-01-15  ,Ana Gomes,Moda,"  4.212,75"
389,2024-05-11,Olívia Teixeira,Casa,USD 59.11
390,2024-05-14,Rafael Teixeira,livros,"R$ 1.592,55"
391,22/01/2023,Gabriela Queiroz,Moda,"4.609,31"
392,2024-10-30 10:30:00,Paulo Ferreira,Casa,"R$ 882,73"
393,2024-13-03,Lucas Ferreira,esporte,USD 1148.61
394,Dec 07 2024,Vitória  Duarte,  Livros,"4.872,83"
395,2024-01-06,João Pereira,Livros,"R$ 1.685,94"
396,2024-06-01,Isabela Martins,Livros,$ 3771.69
  397,06/01/2024,Olívia Esteves,Esporte,"R$  4.909,10"
398,16/06/2024,Nuno Nogueira,Esporte,"1.733,49"
399,25/09/2024,Lucas  Nogueira,casa_decoracao,"R$ 3.704,69"
400,2024-07-06,Henrique Klein,esporte,"R$ 2.546,79  "
401,18/08/2024,Sofia Vasconcelos,casa_decoracao,USD  1900.34
402,2023-04-05,Eduarda Queiroz,Eletrônicos,"R$ 2.603,78"
  403,2023-06-16 10:30:00,Eduarda Queiroz,Moda,"R$ 3.477,74"
404,2024-08-08  ,Rafael Esteves,Casa,"R$ 3.959,38"
405,2023-12-24,Bruno Oliveira,Casa,"2.386,11"
406,  Nov 30 2023,Vitória Vasconcelos,Moda,$ 3358.11
407,2023-05-07,Carla Gomes,Esporte,"  R$ 962,92"
408,  16/08/2024,Sofia Vasconcelos,esporte,"139,68"
409,2024-02-22,Bruno Vasconcelos,  moda,USD 729.23
410,2024-05-31,Diego Jesus,Livros,USD 3174.37
411,2024-02-21,Rafael Gomes  ,Moda,"R$ 2.696,34"
412,2023-03-03,  Paulo Jesus,Livros,"R$ 4.205,75"
413,2023-10-14,Gabriela Vasconcelos,Casa,"4.897,63"
414,May 17 2023,Ana Vasconcelos,  Eletrônicos,"3.521,70"
415,2023-05-07,Mariana Vasconcelos  ,Moda,"R$ 641,11"
416,02/10/2024,Henrique Henriques,Casa e Decoração,"R$ 1.060,96"
417,02/08/2024,Vitória Teixeira,esporte,"4.279,42"
418,09/04/2024,"",Eletrônicos,"R$  2.045,78"
419,2024-03-06,Karina Almeida,casa_decoracao,"1.143,32"
420,2023-01-25,Karina Jesus,LIVRO,"R$ 2.607,41"
421,2023-02-04,Carla Esteves  ,livraria,USD 3393.56
  422,2024-01-29,  Nuno Vasconcelos,Casa,USD 2595.15
423,2024-05-07,Olívia Ferreira,Eletrônico,"R$ 3.264,80"
424,2024-06-14 10:30:00,Eduarda Barbosa,Esporte,"1.017,57"
425,2024-08-15,Karina Vasconcelos,Casa e Decoração,"2.489,19"
